sigla_uf,situacao_domicilio,comodos,condicao_domicilio,banheiros,moradores,homens,mulheres,agua,coleta_lixo,iluminacao,radio,geladeira,videocassete,maquina_lavar,microondas,telefone,computador,televisores,automoveis,ar_condicionado,iluminacao_publica,pavimentacao,rendimento
CE,2,7,1,0,5,3,2,2,3,2,2,2,2,2,2,2,2,0,0,0,5,3,462
RS,2,7,1,1,2,1,1,2,3,1,1,1,2,1,2,1,2,1,1,0,2,3,3050
MG,1,5,2,1,4,2,2,1,1,1,1,1,2,2,2,2,2,1,0,0,4,1,400
SC,1,6,1,1,6,4,2,2,5,1,1,2,2,2,2,2,2,0,0,0,6,,440
RS,1,5,1,1,3,2,1,1,1,1,1,1,1,1,1,2,2,2,1,0,3,3,1000
SP,1,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,0,2,1,270
SP,1,3,2,1,4,3,1,1,1,1,2,1,2,2,2,2,2,1,1,0,4,3,400
PR,1,7,1,1,3,2,1,1,1,1,1,1,2,2,2,1,2,1,0,0,3,1,260
SP,1,5,4,1,5,2,3,1,1,1,1,1,1,2,2,2,2,1,1,0,5,1,600
AL,2,4,4,0,2,1,1,2,5,2,2,2,2,2,2,2,2,0,0,0,2,3,250
MG,1,5,1,1,4,2,2,1,1,1,1,1,1,2,2,1,2,2,0,0,4,1,650
RJ,1,2,1,1,7,3,4,2,2,1,1,2,2,2,2,2,2,1,0,0,7,9,433
RS,1,8,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,0,0,2,1,2120
AM,1,3,1,1,4,2,2,1,1,1,1,1,2,1,2,2,2,1,0,0,4,1,180
SP,1,3,3,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,0,0,2,1,400
MG,1,5,5,1,1,0,1,1,2,1,1,1,2,1,2,1,2,1,0,0,1,1,151
BA,1,4,3,1,4,2,2,1,1,1,1,2,2,2,2,2,2,0,0,0,4,1,151
TO,1,8,1,2,4,1,3,1,1,1,1,1,2,2,1,1,2,1,0,0,4,1,1362
RO,1,5,1,1,4,2,2,2,1,1,2,1,2,2,2,1,2,1,0,0,4,3,1000
RJ,1,8,1,1,3,2,1,2,1,1,1,1,1,2,2,2,2,2,0,0,3,3,600
CE,2,8,4,1,7,6,1,3,3,1,1,1,2,2,2,2,2,2,0,0,7,3,251
MG,1,9,1,3,4,2,2,1,2,1,1,1,1,2,1,1,1,3,1,0,4,1,3600
PB,1,2,1,0,6,2,4,3,1,1,2,2,2,2,2,2,2,0,0,0,6,3,201
BA,1,8,1,1,3,2,1,1,1,1,1,1,2,2,2,2,2,1,0,0,3,3,500
SP,1,8,4,2,5,3,2,1,1,1,1,1,1,1,1,1,2,4,1,1,5,1,4960
PR,1,14,1,2,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,0,3,1,475
RJ,1,6,6,1,3,1,2,1,1,1,1,1,1,1,2,1,2,2,0,0,3,1,1100
GO,1,9,3,2,4,2,2,1,1,1,1,1,1,1,1,1,1,4,2,0,4,1,4600
BA,1,9,1,3,4,2,2,1,1,1,1,1,1,2,2,1,2,2,1,0,4,1,20000
BA,2,5,1,0,3,2,1,3,4,2,1,2,2,2,2,2,2,1,0,0,3,3,382
PR,2,6,4,1,1,1,0,2,3,1,1,2,2,2,2,2,2,0,0,0,1,9,180
SC,1,8,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,0,3,,6800
PE,1,6,1,1,4,3,1,1,1,1,2,1,2,2,2,2,2,2,0,0,4,,442
SE,1,8,5,1,5,3,2,2,1,1,1,1,1,2,2,2,2,1,1,0,5,1,791
BA,2,4,1,0,5,4,1,2,5,2,2,2,2,2,2,2,2,0,0,0,5,3,150
SP,1,13,1,4,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,0,4,1,2800
SP,1,7,3,2,2,0,2,1,1,1,1,1,1,2,2,1,2,1,0,0,2,1,450
MG,1,13,1,3,6,4,2,1,1,1,1,1,1,1,1,1,2,3,1,0,6,1,2000
PI,1,2,5,1,3,1,2,1,1,1,2,1,2,2,2,2,2,1,0,0,3,1,100
MA,1,8,1,1,5,2,3,1,1,1,1,1,1,2,2,1,1,2,1,1,5,1,1500
MA,1,3,1,0,4,2,2,3,4,1,2,2,2,2,2,2,2,0,0,0,4,3,120
SC,1,4,1,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,0,2,,1053
PI,2,3,1,0,5,3,2,2,3,2,1,2,2,2,2,2,2,0,0,0,5,3,120
SP,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1800
DF,1,5,1,1,3,1,2,1,1,1,1,1,1,2,2,2,2,1,0,0,3,1,750
PE,2,5,4,0,5,3,2,3,5,2,1,2,2,2,2,2,2,0,0,0,5,,120
SP,1,5,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,2,1,4000
PR,2,5,1,0,1,0,1,2,5,2,2,2,2,2,2,2,2,0,0,0,1,2,230
PE,1,4,1,0,4,2,2,1,1,1,1,1,2,2,2,2,2,1,0,0,4,,121
SE,2,6,4,0,5,1,4,2,5,1,2,2,2,2,2,2,2,1,0,0,5,3,252
RJ,1,8,1,1,3,1,2,1,1,1,1,1,1,2,2,1,1,1,0,0,3,3,600
SP,1,6,1,2,1,0,1,1,1,1,1,1,2,1,2,1,2,1,0,0,1,1,900
MG,1,4,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,0,0,2,3,371
SP,1,7,1,1,4,3,1,1,1,1,1,1,1,2,2,2,2,2,0,0,4,1,400
MS,1,10,1,1,6,4,2,2,1,1,1,1,2,2,2,2,2,1,0,0,6,3,350
SP,1,7,3,1,1,1,0,1,1,1,2,1,2,2,2,1,2,1,1,0,1,1,1000
GO,2,4,1,0,5,2,3,2,3,2,2,2,2,2,2,2,2,0,1,0,5,9,50
PE,1,5,1,1,1,1,0,1,1,1,1,1,2,2,2,2,2,1,1,0,1,,700
RJ,1,8,1,2,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,4000
RJ,1,7,1,2,3,0,3,1,1,1,1,1,1,1,1,1,2,1,0,0,3,1,750
PE,1,5,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,0,0,2,,151
SP,1,5,3,1,5,3,2,1,1,1,1,1,1,1,1,1,2,2,1,0,5,1,1500
CE,1,2,1,1,4,1,3,1,1,1,1,2,2,2,2,2,2,1,0,0,4,3,200
SP,1,3,3,1,6,1,5,1,1,1,1,1,2,2,2,2,2,1,0,0,6,1,68
SP,1,4,1,1,4,2,2,1,1,1,1,1,1,1,2,1,2,4,0,0,4,3,3500
